,kalimat,kalimat_token
23,kai pancen oke,"['kai', 'pancen', 'oke']"
507,aplikasi perbaruan terbaru bagus tetapi saran aku baiknya harga harga tiket yang sudah habis terjual ditaruh paling bawah seperti aplikasi sebelumnya supaya enggak bingung kalau sekarang dikira masih ada tiketnya ternyata tidak sesuai harapan,"['aplikasi', 'perbaruan', 'terbaru', 'bagus', 'tetapi', 'saran', 'aku', 'baiknya', 'harga', 'harga', 'tiket', 'yang', 'sudah', 'habis', 'terjual', 'ditaruh', 'paling', 'bawah', 'seperti', 'aplikasi', 'sebelumnya', 'supaya', 'enggak', 'bingung', 'kalau', 'sekarang', 'dikira', 'masih', 'ada', 'tiketnya', 'ternyata', 'tidak', 'sesuai', 'harapan']"
298,tampilan oke pemesanan cepat langsung dapat,"['tampilan', 'oke', 'pemesanan', 'cepat', 'langsung', 'dapat']"
341,terlalu banyak menu semakin lambat aplikasinya,"['terlalu', 'banyak', 'menu', 'semakin', 'lambat', 'aplikasinya']"
284,sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pakai aplikasi tiket daring yang lain,"['sangat', 'bermanfaat', 'mudah', 'sekali', 'untuk', 'memesan', 'tiket', 'kereta', 'dibanding', 'pakai', 'aplikasi', 'tiket', 'daring', 'yang', 'lain']"
495,bagus nih tampilan enak dilihat tetapi di gua enggak lambat kok tampilannya enteng juga aplikasinya enggak berat,"['bagus', 'nih', 'tampilan', 'enak', 'dilihat', 'tetapi', 'di', 'gua', 'enggak', 'lambat', 'kok', 'tampilannya', 'enteng', 'juga', 'aplikasinya', 'enggak', 'berat']"
556,setelah memperbarui malah makin lancar enggak lambat sebelumnya saat masuk ke aplikasinya lambat banget sekarang yang mau bli tiket atau mau berpergian naik kereta jadi mudah apalagi yang mau pergi kerja,"['setelah', 'memperbarui', 'malah', 'makin', 'lancar', 'enggak', 'lambat', 'sebelumnya', 'saat', 'masuk', 'ke', 'aplikasinya', 'lambat', 'banget', 'sekarang', 'yang', 'mau', 'bli', 'tiket', 'atau', 'mau', 'berpergian', 'naik', 'kereta', 'jadi', 'mudah', 'apalagi', 'yang', 'mau', 'pergi', 'kerja']"
137,fiturnya banyak sepaket lambat juga minta ampun,"['fiturnya', 'banyak', 'sepaket', 'lambat', 'juga', 'minta', 'ampun']"
227,poin penting ulasan kai access access by kai dari semua yang paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk biarkan itu dipesan sendiri karena menurut saya jadi tidak efisien saat masa hari raya yang lalu lintas pemesanan tiket padat apalagi jika dikejar waktu kemudian pemilihan kursi tampilan denah kursi terlalu besar sehingga harus gulir lama dan tidak ramah penggunaan begitu kiga dengan opsi gerbong yang ada di bawah seperti itu,"['poin', 'penting', 'ulasan', 'kai', 'access', 'access', 'by', 'kai', 'dari', 'semua', 'yang', 'paling', 'mencolok', 'adalah', 'fitur', 'pemesanan', 'opsi', 'railfood', 'dan', 'layanan', 'lainnya', 'seharusnya', 'tidak', 'perlu', 'masuk', 'biarkan', 'itu', 'dipesan', 'sendiri', 'karena', 'menurut', 'saya', 'jadi', 'tidak', 'efisien', 'saat', 'masa', 'hari', 'raya', 'yang', 'lalu', 'lintas', 'pemesanan', 'tiket', 'padat', 'apalagi', 'jika', 'dikejar', 'waktu', 'kemudian', 'pemilihan', 'kursi', 'tampilan', 'denah', 'kursi', 'terlalu', 'besar', 'sehingga', 'harus', 'gulir', 'lama', 'dan', 'tidak', 'ramah', 'penggunaan', 'begitu', 'kiga', 'dengan', 'opsi', 'gerbong', 'yang', 'ada', 'di', 'bawah', 'seperti', 'itu']"
537,sejak diperbarui malah makin mudah aplikasinya enggak lambat lagi mudah sekali ketika cek tiket dan ketika menyelesaikan langkah setep setelah isi data penumpang pembaruan terbaru ini sangat membantu saya puas,"['sejak', 'diperbarui', 'malah', 'makin', 'mudah', 'aplikasinya', 'enggak', 'lambat', 'lagi', 'mudah', 'sekali', 'ketika', 'cek', 'tiket', 'dan', 'ketika', 'menyelesaikan', 'langkah', 'setep', 'setelah', 'isi', 'data', 'penumpang', 'pembaruan', 'terbaru', 'ini', 'sangat', 'membantu', 'saya', 'puas']"
