,kalimat,kalimat_token
335,kalau segalanya mau daring harusnya aplikasinya disiapkan dahulu sampai mateng jauh dari eror lemot ini aplikasinya saja belum optimal banyak eror susah masuk lemot kok sudah main harus beli daring saja kasihan orang yang mau naik kereta dibikin ribet enggak jelas bumn kerjanya kok begini,"['kalau', 'segalanya', 'mau', 'daring', 'harusnya', 'aplikasinya', 'disiapkan', 'dahulu', 'sampai', 'mateng', 'jauh', 'dari', 'eror', 'lemot', 'ini', 'aplikasinya', 'saja', 'belum', 'optimal', 'banyak', 'eror', 'susah', 'masuk', 'lemot', 'kok', 'sudah', 'main', 'harus', 'beli', 'daring', 'saja', 'kasihan', 'orang', 'yang', 'mau', 'naik', 'kereta', 'dibikin', 'ribet', 'enggak', 'jelas', 'bumn', 'kerjanya', 'kok', 'begini']"
439,di meningkatkan tambah satset,"['di', 'meningkatkan', 'tambah', 'satset']"
292,tampilan oke pemesanan cepat langsung dapat,"['tampilan', 'oke', 'pemesanan', 'cepat', 'langsung', 'dapat']"
611,saya pelanggan setia kali merasa paus dengan versi terbarunya memudahkan dalam segala hal pesan tiket mudah cek tiket kereta mudah bayarnya mudah fitur tambahan yang juga berguna bagi saya salutnya dengan tambahan fitur yang banyak tapi masih lancar terus enggak lambat lambat,"['saya', 'pelanggan', 'setia', 'kali', 'merasa', 'paus', 'dengan', 'versi', 'terbarunya', 'memudahkan', 'dalam', 'segala', 'hal', 'pesan', 'tiket', 'mudah', 'cek', 'tiket', 'kereta', 'mudah', 'bayarnya', 'mudah', 'fitur', 'tambahan', 'yang', 'juga', 'berguna', 'bagi', 'saya', 'salutnya', 'dengan', 'tambahan', 'fitur', 'yang', 'banyak', 'tapi', 'masih', 'lancar', 'terus', 'enggak', 'lambat', 'lambat']"
24,keren,['keren']
77,pembaruannya bagus bagus banget apalagi tampulannya jadi lebih baru,"['pembaruannya', 'bagus', 'bagus', 'banget', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
488,enakan yang sekarang aplikasinya lancar enggak lambat tampilan lebih kelihatan segar enggak membosankan,"['enakan', 'yang', 'sekarang', 'aplikasinya', 'lancar', 'enggak', 'lambat', 'tampilan', 'lebih', 'kelihatan', 'segar', 'enggak', 'membosankan']"
260,izin menyampaikan kendala saat saya melakukan pendaftaran anggota tepatnya setelah mendapatkan kode saya menekan tombol lanjutkan tetapi malah enggak bisa saya pikir masalah sinyal tetapi tetap enggak bisa alhasil saya susah buat beli tiket karena harus daftar anggota terlebih dahulu,"['izin', 'menyampaikan', 'kendala', 'saat', 'saya', 'melakukan', 'pendaftaran', 'anggota', 'tepatnya', 'setelah', 'mendapatkan', 'kode', 'saya', 'menekan', 'tombol', 'lanjutkan', 'tetapi', 'malah', 'enggak', 'bisa', 'saya', 'pikir', 'masalah', 'sinyal', 'tetapi', 'tetap', 'enggak', 'bisa', 'alhasil', 'saya', 'susah', 'buat', 'beli', 'tiket', 'karena', 'harus', 'daftar', 'anggota', 'terlebih', 'dahulu']"
588,sudah enggak lambat lagi mau pesan tiket lokal tiket antarkota semua pakai daring tetapi aplikasinya lancar parah enggak lambat jadi makin memudahkan juga setelah diperbarui huhu suka,"['sudah', 'enggak', 'lambat', 'lagi', 'mau', 'pesan', 'tiket', 'lokal', 'tiket', 'antarkota', 'semua', 'pakai', 'daring', 'tetapi', 'aplikasinya', 'lancar', 'parah', 'enggak', 'lambat', 'jadi', 'makin', 'memudahkan', 'juga', 'setelah', 'diperbarui', 'huhu', 'suka']"
464,semenjak memperbarui jadi tidak berat tetapi tampilan ininya saya enggak nyaman,"['semenjak', 'memperbarui', 'jadi', 'tidak', 'berat', 'tetapi', 'tampilan', 'ininya', 'saya', 'enggak', 'nyaman']"
70,aplikasi ini kerend sih jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kaidy si,"['aplikasi', 'ini', 'kerend', 'sih', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kaidy', 'si']"
497,diperbarui malah bisa beli tiket dengan mudah lancar terus ui nya yang diperbaiki juga lebih keren lebih baik dari versi yang lama versi yang baru bagus banget performanya,"['diperbarui', 'malah', 'bisa', 'beli', 'tiket', 'dengan', 'mudah', 'lancar', 'terus', 'ui', 'nya', 'yang', 'diperbaiki', 'juga', 'lebih', 'keren', 'lebih', 'baik', 'dari', 'versi', 'yang', 'lama', 'versi', 'yang', 'baru', 'bagus', 'banget', 'performanya']"
140,pembaruan otomatis biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia,"['pembaruan', 'otomatis', 'biasanya', 'tiket', 'kereta', 'yang', 'sudah', 'habis', 'enggak', 'ditampilkan', 'ini', 'yang', 'sudah', 'habis', 'ditampilkan', 'kira', 'masih', 'tersedia']"
60,kok tampilannya lebih enak yang dahulu ya diperbarui malah jadi ruwet,"['kok', 'tampilannya', 'lebih', 'enak', 'yang', 'dahulu', 'ya', 'diperbarui', 'malah', 'jadi', 'ruwet']"
215,sebelumnya saya sudah beli tiket pakai aplikasi lama terus saya cek di aplikasi tiket saya hilang tuh pertanggungjawabannya bagaimana,"['sebelumnya', 'saya', 'sudah', 'beli', 'tiket', 'pakai', 'aplikasi', 'lama', 'terus', 'saya', 'cek', 'di', 'aplikasi', 'tiket', 'saya', 'hilang', 'tuh', 'pertanggungjawabannya', 'bagaimana']"
432,setelah ditingkatkan jadi susah pesan tiketnya sering pesan dengan metode pembayaran tautan saja padahal di telepon seluler sudah terpasang aplikasinya tetapi disuruh unduh,"['setelah', 'ditingkatkan', 'jadi', 'susah', 'pesan', 'tiketnya', 'sering', 'pesan', 'dengan', 'metode', 'pembayaran', 'tautan', 'saja', 'padahal', 'di', 'telepon', 'seluler', 'sudah', 'terpasang', 'aplikasinya', 'tetapi', 'disuruh', 'unduh']"
426,setelah ditingkatkan jadi susah pesan tiketnya sering pesan dengan metode pembayaran tautan saja padahal di telepon seluler sudah terpasang aplikasinya tetapi disuruh unduh,"['setelah', 'ditingkatkan', 'jadi', 'susah', 'pesan', 'tiketnya', 'sering', 'pesan', 'dengan', 'metode', 'pembayaran', 'tautan', 'saja', 'padahal', 'di', 'telepon', 'seluler', 'sudah', 'terpasang', 'aplikasinya', 'tetapi', 'disuruh', 'unduh']"
586,aplikasi menjadi lebih lancar sesudah diperbarui semuanya lancar dan cepat mudah masuk mudah memesan yang dahulu lambat berputar terus saya pernah menunggu hampir jam bula balik masih saja lemot untung sekarang sudah diperbarui lebih memudahkan pesanan tiket daring,"['aplikasi', 'menjadi', 'lebih', 'lancar', 'sesudah', 'diperbarui', 'semuanya', 'lancar', 'dan', 'cepat', 'mudah', 'masuk', 'mudah', 'memesan', 'yang', 'dahulu', 'lambat', 'berputar', 'terus', 'saya', 'pernah', 'menunggu', 'hampir', 'jam', 'bula', 'balik', 'masih', 'saja', 'lemot', 'untung', 'sekarang', 'sudah', 'diperbarui', 'lebih', 'memudahkan', 'pesanan', 'tiket', 'daring']"
118,cari tiketnya jadi sedikit menyusahkan harus lemah dahulu kurang jelas tiket mana yang tersedia sekali jelas tampilan di versi sebelumnya dan jadi tidak bisa menyesal tiket yang tersedia sedih menurut harga dsb yang tersorting hanya judul besar tiket sarannya mungkin dikembalikan saja tampilan tiketnya seperti versi sebelumnya menurut saya itu sudah sangat jelas,"['cari', 'tiketnya', 'jadi', 'sedikit', 'menyusahkan', 'harus', 'lemah', 'dahulu', 'kurang', 'jelas', 'tiket', 'mana', 'yang', 'tersedia', 'sekali', 'jelas', 'tampilan', 'di', 'versi', 'sebelumnya', 'dan', 'jadi', 'tidak', 'bisa', 'menyesal', 'tiket', 'yang', 'tersedia', 'sedih', 'menurut', 'harga', 'dsb', 'yang', 'tersorting', 'hanya', 'judul', 'besar', 'tiket', 'sarannya', 'mungkin', 'dikembalikan', 'saja', 'tampilan', 'tiketnya', 'seperti', 'versi', 'sebelumnya', 'menurut', 'saya', 'itu', 'sudah', 'sangat', 'jelas']"
90,jadi enggak bisa cek jadwal kerlu aplikasi malah jadi lebih rumit simpel yang versi lama,"['jadi', 'enggak', 'bisa', 'cek', 'jadwal', 'kerlu', 'aplikasi', 'malah', 'jadi', 'lebih', 'rumit', 'simpel', 'yang', 'versi', 'lama']"
423,banyak fitur dan pilihannya tetapi enggak busa sama saja kalau tidak bisa terakses lebih running sama versi yang lamanya merugikan konsumen apabila ada sesuatu mendesak dan butuh reshcedulle tiket tetapi enggak bisa sudah coba telepon dan tanya ke servis center juga enggak ada solusi sudah saya coba manual copot kemudian unduh pasang lagi sama saja enggak bisa harus jadi perhatian dong ini,"['banyak', 'fitur', 'dan', 'pilihannya', 'tetapi', 'enggak', 'busa', 'sama', 'saja', 'kalau', 'tidak', 'bisa', 'terakses', 'lebih', 'running', 'sama', 'versi', 'yang', 'lamanya', 'merugikan', 'konsumen', 'apabila', 'ada', 'sesuatu', 'mendesak', 'dan', 'butuh', 'reshcedulle', 'tiket', 'tetapi', 'enggak', 'bisa', 'sudah', 'coba', 'telepon', 'dan', 'tanya', 'ke', 'servis', 'center', 'juga', 'enggak', 'ada', 'solusi', 'sudah', 'saya', 'coba', 'manual', 'copot', 'kemudian', 'unduh', 'pasang', 'lagi', 'sama', 'saja', 'enggak', 'bisa', 'harus', 'jadi', 'perhatian', 'dong', 'ini']"
29,lebih suka tampilan aplikasi yang dahulu,"['lebih', 'suka', 'tampilan', 'aplikasi', 'yang', 'dahulu']"
328,jadi lambat banget enakan pakai aplikasi sebelum diperbarui,"['jadi', 'lambat', 'banget', 'enakan', 'pakai', 'aplikasi', 'sebelum', 'diperbarui']"
381,baru kali ini kecewa memperbarui yang terbaru bukannya makin bagus malah makin lambat mau masuk harus menunggu lama mau pesan tiket jadi susah mohon untuk segera ada solusinya dy tm,"['baru', 'kali', 'ini', 'kecewa', 'memperbarui', 'yang', 'terbaru', 'bukannya', 'makin', 'bagus', 'malah', 'makin', 'lambat', 'mau', 'masuk', 'harus', 'menunggu', 'lama', 'mau', 'pesan', 'tiket', 'jadi', 'susah', 'mohon', 'untuk', 'segera', 'ada', 'solusinya', 'dy', 'tm']"
