,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
578,Updatean aplikasiny lemot bener di buka Kai accessny masih enakan tampilan yg lama sebelum apdet,Pembaruan aplikasinya lemot benar dibuka Kai Accessnya masih enakan tampilan yang lama sebelum perbarui,pembaruan aplikasinya lemot benar dibuka kai accessnya masih enakan tampilan yang lama sebelum perbarui,"['pembaruan', 'aplikasinya', 'lemot', 'benar', 'dibuka', 'kai', 'accessnya', 'masih', 'enakan', 'tampilan', 'yang', 'lama', 'sebelum', 'perbarui']","['pembaruan', 'aplikasinya', 'lemot', 'dibuka', 'kai', 'accessnya', 'enakan', 'tampilan', 'perbarui']","['baru', 'aplikasi', 'lot', 'buka', 'kai', 'accessnya', 'enak', 'tampil', 'baru']"
597,Begitu buka aplikasinya layar blank Semakin buruk tampilannya,Begitu buka aplikasinya layar belank semakin buruk tampilannya,begitu buka aplikasinya layar belank semakin buruk tampilannya,"['begitu', 'buka', 'aplikasinya', 'layar', 'belank', 'semakin', 'buruk', 'tampilannya']","['buka', 'aplikasinya', 'layar', 'belank', 'buruk', 'tampilannya']","['buka', 'aplikasi', 'layar', 'bank', 'buruk', 'tampil']"
67,Gara gara ada promo kemerdekaan cara mendapatkan tiket jadi susah saat di search keterangannya semua tiket habis tapi kenapa pakai aplikasi selain KAI seperti olshop masih banyak stok nya Tolong untuk kejelasan slot kursinya diakuratkan lagi,Gara-gara ada promo kemerdekaan cara mendapatkan tiket jadi susah saat di cari keterangannya semua tiket habis tetapi kenapa pakai aplikasi selain KAI seperti toko daring masih banyak stoknya tolong untuk kejelasan slot kursinya diakuratkan lagi,gara-gara ada promo kemerdekaan cara mendapatkan tiket jadi susah saat di cari keterangannya semua tiket habis tetapi kenapa pakai aplikasi selain kai seperti toko daring masih banyak stoknya tolong untuk kejelasan slot kursinya diakuratkan lagi,"['gara-gara', 'ada', 'promo', 'kemerdekaan', 'cara', 'mendapatkan', 'tiket', 'jadi', 'susah', 'saat', 'di', 'cari', 'keterangannya', 'semua', 'tiket', 'habis', 'tetapi', 'kenapa', 'pakai', 'aplikasi', 'selain', 'kai', 'seperti', 'toko', 'daring', 'masih', 'banyak', 'stoknya', 'tolong', 'untuk', 'kejelasan', 'slot', 'kursinya', 'diakuratkan', 'lagi']","['gara-gara', 'promo', 'kemerdekaan', 'tiket', 'susah', 'cari', 'keterangannya', 'tiket', 'habis', 'pakai', 'aplikasi', 'kai', 'toko', 'daring', 'stoknya', 'tolong', 'kejelasan', 'slot', 'kursinya', 'diakuratkan']","['gara-gara', 'promo', 'merdeka', 'tiket', 'susah', 'cari', 'terang', 'tiket', 'habis', 'pakai', 'aplikasi', 'kai', 'toko', 'daring', 'stok', 'tolong', 'jelas', 'slot', 'kursi', 'akurat']"
552,Tampilan baru malah semakin buruk semakin lemot,Tampilan baru malah makin buruk makin lambat,tampilan baru malah makin buruk makin lambat,"['tampilan', 'baru', 'malah', 'makin', 'buruk', 'makin', 'lambat']","['tampilan', 'buruk', 'lambat']","['tampil', 'buruk', 'lambat']"
168,Gara gara update lemot bangattt,Gara-gara memperbarui lambat banget,gara-gara memperbarui lambat banget,"['gara-gara', 'memperbarui', 'lambat', 'banget']","['gara-gara', 'memperbarui', 'lambat', 'banget']","['gara-gara', 'baru', 'lambat', 'banget']"
446,Lemot dan gak bisa login gak jelas,Lemot dan enggak bisa masuk enggak jelas,lemot dan enggak bisa masuk enggak jelas,"['lemot', 'dan', 'enggak', 'bisa', 'masuk', 'enggak', 'jelas']","['lemot', 'masuk']","['lot', 'masuk']"
162,Setelah update kok malah makin lemot yah mau buka aplikasinya aja loading terus,Setelah memperbarui kok malah makin lambat ya mau buka aplikasinya saja memuat terus,setelah memperbarui kok malah makin lambat ya mau buka aplikasinya saja memuat terus,"['setelah', 'memperbarui', 'kok', 'malah', 'makin', 'lambat', 'ya', 'mau', 'buka', 'aplikasinya', 'saja', 'memuat', 'terus']","['memperbarui', 'lambat', 'ya', 'buka', 'aplikasinya', 'memuat']","['baru', 'lambat', 'ya', 'buka', 'aplikasi', 'muat']"
309,Tidak memberikan kemudahan customer update an yg baru ini Maaf bintang Lebih suka aplikasi sebelumnya karena lbh banyak dan mudah dimengerti oleh customer pengguna,Tidak memberikan kemudahan pelanggan perbaruan yang baru ini maaf bintang lebih suka aplikasi sebelumnya karena lebih banyak dan mudah dimengerti oleh pelanggan pengguna,tidak memberikan kemudahan pelanggan perbaruan yang baru ini maaf bintang lebih suka aplikasi sebelumnya karena lebih banyak dan mudah dimengerti oleh pelanggan pengguna,"['tidak', 'memberikan', 'kemudahan', 'pelanggan', 'perbaruan', 'yang', 'baru', 'ini', 'maaf', 'bintang', 'lebih', 'suka', 'aplikasi', 'sebelumnya', 'karena', 'lebih', 'banyak', 'dan', 'mudah', 'dimengerti', 'oleh', 'pelanggan', 'pengguna']","['kemudahan', 'pelanggan', 'perbaruan', 'maaf', 'bintang', 'suka', 'aplikasi', 'mudah', 'dimengerti', 'pelanggan', 'pengguna']","['mudah', 'langgan', 'baru', 'maaf', 'bintang', 'suka', 'aplikasi', 'mudah', 'erti', 'langgan', 'guna']"
193,Pembatalan tiket kereta melalui KAI access dipotong sudah itu proses refund hari baru akan ditransfer balik dan giliran pembatalan reservasi hotel melalui KAI access diarahkan untukmenghubungi traveloka pihak traveloka sudah dihubungi dan setuju serta mengkonfirmasi reservasi dibatalkan tanpa pinalti namun untuk pengembalian dana nya diarahkan menghubungi tempat awal melakukan pemesanan yaitu KAI access di aplikasi KAI access tidak ada sama sekali opsi chat minta bantuan,Pembatalan tiket kereta melalui KAI Access dipotong sudah itu proses pengembalian hari baru akan ditransfer balik dan giliran pembatalan reservasi hotel melalui KAI Access diarahkan untuk menghubungi Traveloka pihak Traveloka sudah dihubungi dan setuju serta mengkonfirmasi reservasi dibatalkan tanpa penalti namun untuk pengembalian dananya diarahkan menghubungi tempat awal melakukan pemesanan yaitu KAI Access di aplikasi KAI Access tidak ada sama sekali opsi percakapan minta bantuan,pembatalan tiket kereta melalui kai access dipotong sudah itu proses pengembalian hari baru akan ditransfer balik dan giliran pembatalan reservasi hotel melalui kai access diarahkan untuk menghubungi traveloka pihak traveloka sudah dihubungi dan setuju serta mengkonfirmasi reservasi dibatalkan tanpa penalti namun untuk pengembalian dananya diarahkan menghubungi tempat awal melakukan pemesanan yaitu kai access di aplikasi kai access tidak ada sama sekali opsi percakapan minta bantuan,"['pembatalan', 'tiket', 'kereta', 'melalui', 'kai', 'access', 'dipotong', 'sudah', 'itu', 'proses', 'pengembalian', 'hari', 'baru', 'akan', 'ditransfer', 'balik', 'dan', 'giliran', 'pembatalan', 'reservasi', 'hotel', 'melalui', 'kai', 'access', 'diarahkan', 'untuk', 'menghubungi', 'traveloka', 'pihak', 'traveloka', 'sudah', 'dihubungi', 'dan', 'setuju', 'serta', 'mengkonfirmasi', 'reservasi', 'dibatalkan', 'tanpa', 'penalti', 'namun', 'untuk', 'pengembalian', 'dananya', 'diarahkan', 'menghubungi', 'tempat', 'awal', 'melakukan', 'pemesanan', 'yaitu', 'kai', 'access', 'di', 'aplikasi', 'kai', 'access', 'tidak', 'ada', 'sama', 'sekali', 'opsi', 'percakapan', 'minta', 'bantuan']","['pembatalan', 'tiket', 'kereta', 'kai', 'access', 'dipotong', 'proses', 'pengembalian', 'ditransfer', 'giliran', 'pembatalan', 'reservasi', 'hotel', 'kai', 'access', 'diarahkan', 'menghubungi', 'traveloka', 'traveloka', 'dihubungi', 'setuju', 'mengkonfirmasi', 'reservasi', 'dibatalkan', 'penalti', 'pengembalian', 'dananya', 'diarahkan', 'menghubungi', 'pemesanan', 'kai', 'access', 'aplikasi', 'kai', 'access', 'opsi', 'percakapan', 'bantuan']","['batal', 'tiket', 'kereta', 'kai', 'access', 'potong', 'proses', 'kembali', 'transfer', 'gilir', 'batal', 'reservasi', 'hotel', 'kai', 'access', 'arah', 'hubung', 'traveloka', 'traveloka', 'hubung', 'tuju', 'konfirmasi', 'reservasi', 'batal', 'penalti', 'kembali', 'dana', 'arah', 'hubung', 'mesan', 'kai', 'access', 'aplikasi', 'kai', 'access', 'opsi', 'cakap', 'bantu']"
628,Kenapa jadi susah mau pesan tiket ya rada lemot dan ngga keluar jadwal kereta nya urgent padahal,Kenapa jadi susah mau pesan tiket ya rada lambat dan enggak keluar jadwal keretanya penting padahal,kenapa jadi susah mau pesan tiket ya rada lambat dan enggak keluar jadwal keretanya penting padahal,"['kenapa', 'jadi', 'susah', 'mau', 'pesan', 'tiket', 'ya', 'rada', 'lambat', 'dan', 'enggak', 'keluar', 'jadwal', 'keretanya', 'penting', 'padahal']","['susah', 'pesan', 'tiket', 'ya', 'rada', 'lambat', 'jadwal', 'keretanya']","['susah', 'pesan', 'tiket', 'ya', 'rada', 'lambat', 'jadwal', 'kereta']"
