,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.7756807804107666,0.08565286269908726,0.3349125385284424,0.02990319963461216,10,10,poly,"{'classifier__C': 10, 'classifier__gamma': 10, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
21,0.2755240599314372,0.008529630516427142,0.0935834248860677,0.0031844435052888705,10,1,linear,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.27956989247311825,0.3763440860215054,0.2972972972972973,0.3177370919306403,0.04206859507776239,9
22,0.49355292320251465,0.00806783457303262,0.44097081820170086,0.015623764996034894,10,1,rbf,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.26344086021505375,0.3010752688172043,0.2864864864864865,0.28366753850624815,0.015492945243881666,19
23,0.6550831000010172,0.017136377541126208,0.29776525497436523,0.005162778211840009,10,1,poly,"{'classifier__C': 10, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
24,0.28591712315877277,0.0038280811579948083,0.09555490811665852,0.0021588527435573704,10,0.1,linear,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.27956989247311825,0.3763440860215054,0.2972972972972973,0.3177370919306403,0.04206859507776239,9
25,0.35828693707784015,0.06250855338711077,0.3739144007364909,0.07420194880607132,10,0.1,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.3010752688172043,0.3924731182795699,0.3567567567567568,0.35010171461784373,0.03760858865551273,2
26,0.5918342272440592,0.04721286872199902,0.27053387959798175,0.024121181635688747,10,0.1,poly,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
27,0.3678294022878011,0.07812569147783895,0.11612971623738606,0.022051845534863068,10,0.01,linear,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.27956989247311825,0.3763440860215054,0.2972972972972973,0.3177370919306403,0.04206859507776239,9
28,0.2835249900817871,0.006638521687573569,0.27429946263631183,0.012335222131152332,10,0.01,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.07526881720430108,0.06451612903225806,0.10270270270270271,0.08082921631308727,0.016077772044219247,34
29,0.1669330596923828,0.0008417693569515439,0.06831105550130208,0.003545532548872313,10,0.01,poly,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
30,0.27583034833272296,0.005298192969825023,0.11050645510355632,0.005913586383246135,1,100,linear,"{'classifier__C': 1, 'classifier__gamma': 100, 'classifier__kernel': 'linear'}",0.2956989247311828,0.3602150537634409,0.32972972972972975,0.3285479027414511,0.026351853351638737,3
31,0.676764965057373,0.009484155008878455,0.6712724367777506,0.023815567354306327,1,100,rbf,"{'classifier__C': 1, 'classifier__gamma': 100, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
32,0.7097278436024984,0.10355670416273999,0.3336680730183919,0.030511750470316807,1,100,poly,"{'classifier__C': 1, 'classifier__gamma': 100, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
33,0.3356316884358724,0.01702685564779592,0.1337412198384603,0.01650085946899331,1,10,linear,"{'classifier__C': 1, 'classifier__gamma': 10, 'classifier__kernel': 'linear'}",0.2956989247311828,0.3602150537634409,0.32972972972972975,0.3285479027414511,0.026351853351638737,3
34,0.6767764091491699,0.007097962453516799,0.7117122809092203,0.00464110879335627,1,10,rbf,"{'classifier__C': 1, 'classifier__gamma': 10, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
35,0.6573433081309,0.005742864863342764,0.3002144495646159,0.008921831645934781,1,10,poly,"{'classifier__C': 1, 'classifier__gamma': 10, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
