,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
101,ok,oke,oke,['oke'],['oke'],['oke']
541,secara tampilan oke masalah sistem jauh sama yang lama lemot banget min kukira jaringan yg lemot ternyata bukan sampe restart hp berkali kali mau pesen malah jadi seribet ini mending yang lama,secara tampilan oke masalah sistem jauh sama yang lama lama banget admin kukira jaringan yang lambat ternyata bukan sampai mengulang telepon seluler berkali-kali mau pesan malah jadi seribet ini mending yang lama,secara tampilan oke masalah sistem jauh sama yang lama lama banget admin kukira jaringan yang lambat ternyata bukan sampai mengulang telepon seluler berkali-kali mau pesan malah jadi seribet ini mending yang lama,"['secara', 'tampilan', 'oke', 'masalah', 'sistem', 'jauh', 'sama', 'yang', 'lama', 'lama', 'banget', 'admin', 'kukira', 'jaringan', 'yang', 'lambat', 'ternyata', 'bukan', 'sampai', 'mengulang', 'telepon', 'seluler', 'berkali-kali', 'mau', 'pesan', 'malah', 'jadi', 'seribet', 'ini', 'mending', 'yang', 'lama']","['tampilan', 'oke', 'sistem', 'banget', 'admin', 'kukira', 'jaringan', 'lambat', 'mengulang', 'telepon', 'seluler', 'pesan', 'seribet', 'mending']","['tampil', 'oke', 'sistem', 'banget', 'admin', 'kira', 'jaring', 'lambat', 'ulang', 'telepon', 'seluler', 'pesan', 'seribet', 'mending']"
299,lemot paraaaaaaah aplikasinya,lambat parah aplikasinya,lambat parah aplikasinya,"['lambat', 'parah', 'aplikasinya']","['lambat', 'parah', 'aplikasinya']","['lambat', 'parah', 'aplikasi']"
503,keren jg update yg terbaru,keren juga memperbarui yang terbaru,keren juga memperbarui yang terbaru,"['keren', 'juga', 'memperbarui', 'yang', 'terbaru']","['keren', 'memperbarui', 'terbaru']","['keren', 'baru', 'baru']"
499,jangan gunakan aplikasi ini beli token pln sdh bayar tapi ngga ada aplikasi ini mempermalukan kai,jangan gunakan aplikasi ini beli token PLN sudah bayar tetapi enggak ada aplikasi ini mempermalukan kali,jangan gunakan aplikasi ini beli token pln sudah bayar tetapi enggak ada aplikasi ini mempermalukan kali,"['jangan', 'gunakan', 'aplikasi', 'ini', 'beli', 'token', 'pln', 'sudah', 'bayar', 'tetapi', 'enggak', 'ada', 'aplikasi', 'ini', 'mempermalukan', 'kali']","['aplikasi', 'beli', 'token', 'pln', 'bayar', 'aplikasi', 'mempermalukan', 'kali']","['aplikasi', 'beli', 'token', 'pln', 'bayar', 'aplikasi', 'malu', 'kali']"
318,gimna sihhh ini makin susah masuk aj harus log in teruss mana setiap hari pulang pergi kerja harus naek kereta tolong di benahi dong katanya lebih mudah tapi nyatanya,bagaimana sih ini makin susah masuk saja harus masuk terus mana setiap hari pulang pergi kerja harus naik kereta tolong dibenahi dong katanya lebih mudah tetapi nyatanya,bagaimana sih ini makin susah masuk saja harus masuk terus mana setiap hari pulang pergi kerja harus naik kereta tolong dibenahi dong katanya lebih mudah tetapi nyatanya,"['bagaimana', 'sih', 'ini', 'makin', 'susah', 'masuk', 'saja', 'harus', 'masuk', 'terus', 'mana', 'setiap', 'hari', 'pulang', 'pergi', 'kerja', 'harus', 'naik', 'kereta', 'tolong', 'dibenahi', 'dong', 'katanya', 'lebih', 'mudah', 'tetapi', 'nyatanya']","['sih', 'susah', 'masuk', 'masuk', 'pulang', 'pergi', 'kerja', 'kereta', 'tolong', 'dibenahi', 'mudah']","['sih', 'susah', 'masuk', 'masuk', 'pulang', 'pergi', 'kerja', 'kereta', 'tolong', 'benah', 'mudah']"
145,upgrade biar makin meningkat ini malah tambah parah lemot dioperasikan gimana sih malah mempersulit hubungi lewat sosial media lain no respon parah banget,meningkatkan biar makin meningkat ini malah tambah parah lambat dioperasikan bagaimana sih malah mempersulit hubungi lewat media sosial media lain respons parah banget,meningkatkan biar makin meningkat ini malah tambah parah lambat dioperasikan bagaimana sih malah mempersulit hubungi lewat media sosial media lain respons parah banget,"['meningkatkan', 'biar', 'makin', 'meningkat', 'ini', 'malah', 'tambah', 'parah', 'lambat', 'dioperasikan', 'bagaimana', 'sih', 'malah', 'mempersulit', 'hubungi', 'lewat', 'media', 'sosial', 'media', 'lain', 'respons', 'parah', 'banget']","['meningkatkan', 'biar', 'meningkat', 'parah', 'lambat', 'dioperasikan', 'sih', 'mempersulit', 'hubungi', 'media', 'sosial', 'media', 'respons', 'parah', 'banget']","['tingkat', 'biar', 'tingkat', 'parah', 'lambat', 'operasi', 'sih', 'sulit', 'hubung', 'media', 'sosial', 'media', 'respons', 'parah', 'banget']"
569,sejauh ini mudah digunakan dengan tampilan access baru tapi tolong diperbaiki tampilan kai antarkota ngga bisa diklik dibagian bawahnya krn tampilannya ngga full dan aplikasi sering berhenti sendiri terima kasih atensinya mohon segera dilakukan perbaikan sehingga bisa pesan tiket antarkota dgn mudah,sejauh ini mudah digunakan dengan tampilan akses baru tetapi tolong diperbaiki tampilan kali antarkota enggak bisa diklik di bagian bawahnya karena tampilannya enggak penuh dan aplikasi sering berhenti sendiri terima kasih atensinya mohon segera dilakukan perbaikan sehingga bisa pesan tiket antarkota dengan mudah,sejauh ini mudah digunakan dengan tampilan akses baru tetapi tolong diperbaiki tampilan kali antarkota enggak bisa diklik di bagian bawahnya karena tampilannya enggak penuh dan aplikasi sering berhenti sendiri terima kasih atensinya mohon segera dilakukan perbaikan sehingga bisa pesan tiket antarkota dengan mudah,"['sejauh', 'ini', 'mudah', 'digunakan', 'dengan', 'tampilan', 'akses', 'baru', 'tetapi', 'tolong', 'diperbaiki', 'tampilan', 'kali', 'antarkota', 'enggak', 'bisa', 'diklik', 'di', 'bagian', 'bawahnya', 'karena', 'tampilannya', 'enggak', 'penuh', 'dan', 'aplikasi', 'sering', 'berhenti', 'sendiri', 'terima', 'kasih', 'atensinya', 'mohon', 'segera', 'dilakukan', 'perbaikan', 'sehingga', 'bisa', 'pesan', 'tiket', 'antarkota', 'dengan', 'mudah']","['mudah', 'tampilan', 'akses', 'tolong', 'diperbaiki', 'tampilan', 'kali', 'antarkota', 'diklik', 'bawahnya', 'tampilannya', 'penuh', 'aplikasi', 'berhenti', 'terima', 'kasih', 'atensinya', 'mohon', 'perbaikan', 'pesan', 'tiket', 'antarkota', 'mudah']","['mudah', 'tampil', 'akses', 'tolong', 'baik', 'tampil', 'kali', 'antarkota', 'klik', 'bawah', 'tampil', 'penuh', 'aplikasi', 'henti', 'terima', 'kasih', 'atensi', 'mohon', 'baik', 'pesan', 'tiket', 'antarkota', 'mudah']"
353,super lelet asli lelet sedunia,super lelet asli lelet sedunia,super lelet asli lelet sedunia,"['super', 'lelet', 'asli', 'lelet', 'sedunia']","['super', 'lelet', 'asli', 'lelet', 'sedunia']","['super', 'lelet', 'asli', 'lelet', 'dunia']"
208,aplikasi jadi semakin susah dimengerti untuk cek jadwal krl aja ga detail seperti sebelumnya lemot malah jadi jelek,aplikasi jadi semakin susah dimengerti untuk cek jadwal kerla saja enggak detail seperti sebelumnya lambat malah jadi jelek,aplikasi jadi semakin susah dimengerti untuk cek jadwal kerla saja enggak detail seperti sebelumnya lambat malah jadi jelek,"['aplikasi', 'jadi', 'semakin', 'susah', 'dimengerti', 'untuk', 'cek', 'jadwal', 'kerla', 'saja', 'enggak', 'detail', 'seperti', 'sebelumnya', 'lambat', 'malah', 'jadi', 'jelek']","['aplikasi', 'susah', 'dimengerti', 'cek', 'jadwal', 'kerla', 'detail', 'lambat', 'jelek']","['aplikasi', 'susah', 'erti', 'cek', 'jadwal', 'kerla', 'detail', 'lambat', 'jelek']"
